id,data_transakcji,adres,dzielnica,powierzchnia_m2,pokoje,pietro,rok_budowy,rynek,cena_pln
DM0001,2026-04-08,ul. Wołoska 57,Służewiec,53.1,2,3,2021,primary,1021000.0
DM0002,2025-08-31,ul. Postępu 49,Służewiec,82.6,4,9,2024,secondary,1490000.0
DM0003,2025-07-28,ul. Wołoska 29,Służewiec,40.6,2,0,2024,secondary,687000.0
DM0004,2026-02-20,ul. Bokserska 52,Służewiec,56.5,3,6,1978,secondary,934000.0
DM0005,2026-04-23,ul. Postępu 10,Służewiec,64.1,3,9,2012,secondary,1050000.0
DM0006,2025-12-01,ul. Cybernetyki 58,Służewiec,55.0,3,9,2024,primary,920000.0
DM0007,2025-11-02,ul. Rzymowskiego 57,Służewiec,61.5,3,7,2021,primary,1108000.0
DM0008,2026-01-26,ul. Postępu 33,Służewiec,82.8,4,8,1965,secondary,1439000.0
DM0009,2026-04-02,ul. Wynalazek 57,Służewiec,80.6,4,1,2021,secondary,1541000.0
DM0010,2025-10-04,ul. Wołoska 41,Służewiec,86.5,4,7,2024,secondary,1590000.0
DM0011,2025-09-01,ul. Obrzeżna 36,Służewiec,50.2,2,8,2024,primary,845000.0
DM0012,2025-11-14,ul. Obrzeżna 1,Służewiec,58.1,3,0,1995,secondary,940000.0
DM0013,2025-08-06,ul. Postępu 24,Służewiec,96.3,4,3,2012,secondary,1744000.0
DM0014,2025-10-12,ul. Cybernetyki 36,Służewiec,61.8,3,0,2012,secondary,1131000.0
DM0015,2026-04-18,ul. Wynalazek 17,Służewiec,58.3,3,7,1995,primary,1057000.0
DM0016,2025-10-05,ul. Postępu 24,Służewiec,93.1,4,1,2004,secondary,1635000.0
DM0017,2025-11-09,ul. Wołoska 1,Służewiec,45.0,2,7,1978,secondary,875000.0
DM0018,2026-02-26,ul. Wynalazek 18,Służewiec,50.1,2,5,1995,secondary,902000.0
DM0019,2025-07-02,ul. Postępu 45,Służewiec,65.5,3,2,2004,secondary,1174000.0
DM0020,2026-04-01,ul. Wynalazek 19,Służewiec,95.9,4,1,2021,secondary,1799000.0
DM0021,2026-03-30,ul. Obrzeżna 33,Służewiec,77.9,3,6,2021,primary,1473000.0
DM0022,2025-09-14,ul. Wołoska 25,Służewiec,79.7,4,1,1965,primary,1309000.0
DM0023,2025-07-12,ul. Domaniewska 2,Służewiec,54.5,2,8,2024,secondary,979000.0
DM0024,2026-01-03,ul. Postępu 30,Służewiec,58.9,3,9,1995,secondary,1106000.0
DM0025,2025-09-14,ul. Postępu 39,Służewiec,48.2,2,3,1978,secondary,863000.0
DM0026,2026-05-21,ul. Domaniewska 42,Służewiec,47.6,2,8,1965,secondary,932000.0
DM0027,2025-07-14,ul. Domaniewska 9,Służewiec,47.3,2,8,2004,primary,863000.0
DM0028,2025-09-16,ul. Konstruktorska 25,Służewiec,87.6,4,4,2021,secondary,1354000.0
DM0029,2026-04-28,ul. Konstruktorska 17,Służewiec,55.8,3,7,2024,primary,890000.0
DM0030,2025-11-07,ul. Wynalazek 31,Służewiec,51.8,2,7,1978,secondary,823000.0
DM0031,2025-09-12,ul. Marynarska 15,Służewiec,78.9,4,0,1978,primary,1437000.0
DM0032,2025-07-12,ul. Konstruktorska 2,Służewiec,53.6,2,5,1995,secondary,918000.0
