Lp.;Data transakcji;Rodzaj nieruchomości;Adres nieruchomości;Obręb ewidencyjny;Powierzchnia lokalu [m2];Liczba izb;Kondygnacja;Cena transakcyjna [zł]
1;2026-04-19;lokal mieszkalny;ul. Obrzeżna 5;Służewiec;82.55;4;1;1401213
2;2025-08-27;lokal mieszkalny;ul. Rzymowskiego 31;Służewiec;42.42;2;3;759909
3;2026-01-10;lokal mieszkalny;ul. Domaniewska 34;Służewiec;42.04;2;1;718500
4;2026-03-11;lokal mieszkalny;ul. Rzymowskiego 31;Służewiec;57.95;3;3;1108830
5;2025-10-22;lokal mieszkalny;ul. Wilanowska 89;Służewiec;82.54;4;0;1476270
6;2025-12-16;lokal mieszkalny;ul. Konstruktorska 11;Służewiec;40.19;2;6;775359
7;2025-07-31;lokal mieszkalny;ul. Puławska 233;Służewiec;63.41;3;2;1132158
8;2025-11-04;lokal mieszkalny;ul. Wołoska 12;Służewiec;65.34;3;1;1188833
9;2025-07-01;lokal mieszkalny;ul. Rzymowskiego 31;Służewiec;71.47;3;3;1273727
10;2025-12-04;lokal mieszkalny;ul. Cybernetyki 7;Służewiec;69.98;3;7;1199315
11;2026-01-06;lokal mieszkalny;ul. Wilanowska 89;Służewiec;81.4;4;2;1368164
12;2025-09-02;lokal mieszkalny;ul. Konstruktorska 11;Służewiec;41.85;2;5;690577
13;2026-03-14;lokal mieszkalny;ul. Cybernetyki 7;Służewiec;51.53;2;8;1025492
14;2025-09-05;lokal mieszkalny;ul. Bokserska 30;Służewiec;45.75;2;6;764495
15;2025-08-01;lokal mieszkalny;ul. Domaniewska 34;Służewiec;83.21;4;5;1280444
16;2025-07-21;lokal mieszkalny;ul. Obrzeżna 5;Służewiec;70.68;3;7;1270250
17;2025-09-13;lokal mieszkalny;ul. Wołoska 12;Służewiec;77.48;4;1;1528169
18;2025-07-22;lokal mieszkalny;ul. Domaniewska 34;Służewiec;72.36;3;7;1197416
19;2025-11-17;lokal mieszkalny;ul. Marynarska 15;Służewiec;71.68;3;0;1393115
20;2025-09-03;lokal mieszkalny;ul. Cybernetyki 7;Służewiec;54.71;2;0;987767
21;2026-01-07;lokal mieszkalny;ul. Konstruktorska 11;Służewiec;74.11;3;6;1159577
22;2026-02-17;lokal mieszkalny;ul. Bokserska 30;Służewiec;81.09;4;7;1417659
23;2025-10-05;lokal mieszkalny;ul. Bokserska 30;Służewiec;63.82;3;8;1239188
24;2025-05-29;lokal mieszkalny;ul. Marynarska 15;Służewiec;71.2;3;6;1419182
25;2026-01-15;lokal mieszkalny;ul. Konstruktorska 11;Służewiec;45.09;2;3;716078
26;2025-10-01;lokal użytkowy;ul. Domaniewska 50;Służewiec;120.0;0;0;2400000
27;2025-10-02;grunt zabudowany;ul. Obrzeżna 1;Służewiec;800.0;0;0;8000000
28;2025-10-03;lokal mieszkalny;ul. Wołoska 22;Ksawerów;55.0;3;2;990000
