id,data_aktu,adres,dzielnica,powierzchnia_m2,pokoje,pietro,rok_budowy,cena_pln
TX1000,2026-02-06,ul. Testowa 58,Stary Mokotów,41.7,2,2,1995,915982
TX1001,2025-08-13,ul. Testowa 109,Stary Mokotów,79.4,4,0,1995,1681771
TX1002,2026-05-29,ul. Testowa 144,Służewiec,48.1,2,3,2022,794660
TX1003,2026-06-08,ul. Testowa 195,Stegny,48.2,2,2,2018,716107
TX1004,2025-12-21,ul. Testowa 27,Wyględów,51.7,2,1,2018,897564
TX1005,2026-01-27,ul. Testowa 12,Służewiec,56.5,3,7,2022,896994
TX1006,2025-09-02,ul. Testowa 76,Służewiec,93.4,4,10,2022,1495708
TX1007,2026-05-07,ul. Testowa 12,Wierzbno,56.7,3,10,2005,1035852
TX1008,2026-02-12,ul. Testowa 26,Wierzbno,52.4,2,6,2012,933716
TX1009,2025-12-04,ul. Testowa 91,Stegny,73.1,3,3,2012,1020403
TX1010,2025-08-04,ul. Testowa 163,Stary Mokotów,91.2,4,2,2022,1969190
TX1011,2026-01-24,ul. Testowa 164,Stary Mokotów,49.7,2,8,2005,1036195
TX1012,2026-05-14,ul. Testowa 59,Stary Mokotów,54.5,2,0,2012,1202978
TX1013,2025-08-25,ul. Testowa 184,Stegny,51.1,2,5,2005,681878
TX1014,2025-07-17,ul. Testowa 118,Stary Mokotów,65.0,3,2,2012,1465035
TX1015,2026-01-28,ul. Testowa 192,Ksawerów,49.8,2,9,2018,883701
TX1016,2026-04-02,ul. Testowa 131,Sadyba,59.0,3,7,1995,995743
TX1017,2025-07-25,ul. Testowa 41,Wierzbno,37.8,2,10,2018,678094
TX1018,2025-10-15,ul. Testowa 136,Sadyba,38.8,2,4,2022,680009
TX1019,2026-04-14,ul. Testowa 175,Wierzbno,91.5,4,8,2012,1850222
TX1020,2025-11-01,ul. Testowa 41,Wierzbno,73.5,3,7,1995,1319031
TX1021,2025-09-28,ul. Testowa 196,Stary Mokotów,87.6,4,2,2022,1756730
TX1022,2025-07-19,ul. Testowa 130,Służewiec,87.2,4,9,2005,1368517
TX1023,2025-09-13,ul. Testowa 1,Ksawerów,57.4,3,9,2012,926780
TX1024,2026-01-05,ul. Testowa 62,Stegny,36.2,2,0,2005,587019
TX1025,2025-10-06,ul. Testowa 18,Sadyba,91.8,4,8,2005,1500287
TX1026,2026-03-19,ul. Testowa 68,Ksawerów,74.6,3,8,2022,1438810
TX1027,2026-03-01,ul. Testowa 183,Stegny,92.9,4,4,2018,1506466
TX1028,2025-09-20,ul. Testowa 116,Stary Mokotów,74.0,3,1,2005,1535648
TX1029,2025-09-01,ul. Testowa 59,Ksawerów,38.8,2,9,2005,604659
TX1030,2026-02-14,ul. Testowa 18,Służewiec,39.3,2,0,2012,669043
TX1031,2025-10-06,ul. Testowa 55,Służewiec,65.8,3,8,2005,1027401
TX1032,2025-10-12,ul. Testowa 63,Stary Mokotów,91.1,4,7,2018,1938972
TX1033,2025-12-12,ul. Testowa 109,Ksawerów,40.7,2,6,2018,738135
TX1034,2025-07-16,ul. Testowa 26,Wierzbno,78.7,4,0,2018,1589189
TX1035,2026-02-04,ul. Testowa 50,Stary Mokotów,55.4,3,3,2022,1243564
TX1036,2025-10-18,ul. Testowa 64,Stegny,43.4,2,1,2018,574356
TX1037,2026-05-17,ul. Testowa 167,Wierzbno,86.7,4,8,1995,1708077
TX1038,2026-03-18,ul. Testowa 105,Służewiec,90.6,4,7,2018,1621287
TX1039,2026-03-19,ul. Testowa 98,Ksawerów,86.9,4,0,2018,1660659
TX1040,2026-01-16,ul. Testowa 109,Wyględów,90.6,4,8,2018,1779475
TX1041,2026-05-13,ul. Testowa 149,Ksawerów,46.4,2,8,1995,759614
TX1042,2025-10-10,ul. Testowa 129,Stary Mokotów,53.8,2,8,2005,1033014
TX1043,2026-03-08,ul. Testowa 18,Służewiec,92.6,4,9,1995,1372332
TX1044,2025-08-24,ul. Testowa 64,Stary Mokotów,86.7,4,9,2022,1787320
TX1045,2025-08-17,ul. Testowa 145,Służewiec,72.2,3,8,2012,1167979
TX1046,2026-02-09,ul. Testowa 68,Wyględów,47.3,2,6,2005,915964
TX1047,2026-05-05,ul. Testowa 3,Stary Mokotów,73.7,3,7,2022,1535097
TX1048,2026-02-22,ul. Testowa 130,Sadyba,94.8,4,4,2005,1544576
TX1049,2025-12-04,ul. Testowa 73,Wyględów,87.9,4,2,2018,1759494
TX1050,2025-07-12,ul. Testowa 136,Wierzbno,67.6,3,0,2022,1264796
TX1051,2026-04-04,ul. Testowa 68,Wyględów,90.9,4,1,1995,1537483
TX1052,2025-08-06,ul. Testowa 54,Stary Mokotów,68.2,3,5,2005,1370070
TX1053,2025-10-04,ul. Testowa 65,Stary Mokotów,73.1,3,0,1995,1466094
TX1054,2026-06-10,ul. Testowa 86,Stary Mokotów,60.4,3,2,2012,1214463
TX1055,2025-11-05,ul. Testowa 144,Ksawerów,79.5,4,0,1995,1407706
TX1056,2026-03-27,ul. Testowa 140,Służewiec,91.7,4,0,2012,1583109
TX1057,2026-05-21,ul. Testowa 79,Sadyba,68.2,3,5,1995,1208436
TX1058,2026-04-20,ul. Testowa 91,Wyględów,47.6,2,8,2018,832905
TX1059,2026-02-10,ul. Testowa 42,Sadyba,80.0,4,2,2018,1576240
BAD1,2025-09-01,X,Służewiec,50,2,1,2010,-100000
BAD2,2025-09-02,Y,Sadyba,0,2,1,2010,500000
BAD3,2025-09-03,Z,Stegny,50,2,1,2010,10000
